Tags,Type,Objective,Description,Location,Mitre,InitialScore
"[CORPORATION,HIGH_INTERACTION,LATERAL_MOVEMENT]",Directory services server high-interaction honeypot.,Attackers trying to pivot or gain priviledges inside the corporate network. ,"A server running the preferred directory services (it is recommended to use one that is used in the real environment). An example could be an AD Domain Controller (AD DC) or an OpenLDAP server. Any authentication attempt or interaction with the server should be logged, monitored, and investigated to detect unauthorized access, credential stuffing, or reconnaissance activities.","Inside the corporate network, isolated from reaching real resources via subnetting","Credential Access,  Privilege Escalation, Lateral Movement",50
"[CORPORATION,HIGH_INTERACTION,MAILSERVER,ON_PREM,PHISHING,INITIAL_ACCESS]",Mail server spam trap high-interaction honeypot.,Detect spam and phishing attempts.,"A SMTP server that blacklists any interaction. No authentic mail is expected, so it will likely be spam or phishing. It can monitor decoy email addresses, for example abandoned addresses that are no longer in use or addresses hidden on websites that would only be visible to bots. ","On-premise, in the DMZ. It must be isolated from the actual mail server, so that it is not exposed to legitimate traffic. ","Reconnaissance,  Resource Development, Initial Access     ",50
"[CORPORATION,HIGH_INTERACTION,MAILSERVER,CLOUD,PHISHING,INITIAL_ACCESS]",Mail server spam trap high-interaction honeypot.,Detect spam and phishing attempts.,"A SMTP server that blacklists any interaction.  No authentic mail is expected, so it will likely be spam or phishing. It can monitor decoy email addresses, for example abandoned addresses that are no longer in use or addresses hidden on websites that would only be visible to bots. ","Cloud-based VM, within an isolated VPC/VNet subnet (isolated from the production mail system).  ","Reconnaissance,  Resource Development, Initial Access     ",50
"[CORPORATION,HIGH_INTERACTION,HONEYNET,LATERAL_MOVEMENT,INITIAL_ACCESS,IMPACT]",Honeynet.,Attackers trying to breach the corporate inner network. ,"A decoy copy of the production network environment. It should mimic the real environment's architecture, services, and data flows to appear as authentic as possible. It should contain decoy systems like servers, databases, and endpoints with realistic but fake data. Some honeynets even generate simulated network traffic in order to be indistinguishable from the real network. Any interaction with the honeynet should be monitored, logged, and investigated to detect potential threats and prevent them from reaching the production network. It could also be used to investigate attacker's behaviour, learn their tactics and use it to secure the production environment.","Inside the corporate network, behind a honeywall, completely isolated from the actual production systems.  ","It is a simulation of an entire network, so it covers all the tactics.",50
"[HCP,HONEYTOKEN,DATABASE_CUSTOMER,DATA_LEAKS,INSIDER_THREAT,IMPACT]",Electronic Health Record honeytoken.,Detect patient-sensitive information exfiltration. ,"Decoy entry information added to the Electronic Health Records. Fictitious health records that no one should be authorised to access. Hence, it should be monitored, and any access attempt should be deemed as malicious activity and investigated as it could be an indicator of an insider threat or compromise.",In the Electronic Health Record.,"Exfiltration, Impact",70
"[HCP,LOW_INTERACTION,DATA_LEAKS,ON_PREM,IMPACT]",Database low-interaction honeypot. ,Detect intruders trying to breach a database.  ,"Decoy database simulation (no actual data) that will attract attackers looking for misconfigured or vulnerable databases, alerting and preventing them from breaching the actual databases.  A recommendation is to choose a honeypot that best mimics your real configuration, for example, a copy of the Electronic Health Report.","Inside the corporate network. If there are other databases, it could reside in the same network segment, but isolated from the real resources. ","Exfiltration, Impact",70
"[HCP,LOW_INTERACTION,IOT,MONITORING,LATERAL_MOVEMENT]",Connected medical devices low-interaction honeypot.,Detect attackers trying to exploit connected medical devices.,"A simulation of patient-monitoring connected medical devices, such as an electrocardiogram, blood pressure monitor, or heart rate monitor. The honeypot should simulate the usual network interfaces that the selected device offers for connection and log all interaction attempts, which should be monitored and investigated to identify security threats. Among some popular services, we find SMB, SSH, and FTP.","Inside the internal network, in the the same network segment that real monitoring devices are located, but isolated from them.",Lateral Movement,70
"[HCP,LOW_INTERACTION,IOT,MONITORING,VULNERABILITY,LATERAL_MOVEMENT]",Connected medical devices low-interaction honeypot.,Detect attackers trying to exploit connected medical devices.,"A simulation of patient-monitoring connected medical devices, such as an electrocardiogram, blood pressure monitor, or heart rate monitor. The honeypot should simulate the usual network interfaces that the selected device offers for connection and log all interaction attempts, which should be monitored and investigated to identify security threats. Among some popular services, we find SMB, SSH, and FTP. The honeypot could simulate some version of these services with known vulnerabilities in order to be a more appealing target.","Inside the internal network, in the same network segment that real monitoring devices are located, but isolated from them. ",Lateral Movement,70
"[HCP,LOW_INTERACTION,IOT,IMAGING,LATERAL_MOVEMENT]",DICOM server low-interaction honeypot.,Detect attackers trying to breach a DICOM server.,"A simulation of a DICOM server that logs unauthorized access attempts and interactions. It could simulate that it accepts DICOM messages such as C-FIND, which are used for searching imaging records, without processing the operations. Instead, they are logged and investigated as they could be potential intruders. DICOM servers typically operate on ports 104, 11112, or 4242. You need to choose the one that best fits your environment.","Choose the same network segment inside the internal network as other imaging technologies, but ensure it is correctly isolated from real devices. ",Lateral Movement,70
"[HCP,LOW_INTERACTION,IOT,IMAGING,MISCONFIGURATION,INITIAL_ACCESS]",DICOM server low-interaction honeypot.,Detect attackers trying to breach into the network using an exposed DICOM server. ,"A simulation of a misconfigured DICOM server that has been left exposed to the internet. It could simulate that it accepts DICOM messages such as C-FIND, which are used for searching imaging records, without processing the operations. Instead, they are logged, investigated, and blocked from reaching other network resources. DICOM servers typically operate on ports 104, 11112, or 4242. You need to choose the one that best fits your environment.","In the DMZ, in an isolated segment.  ","Inital Access, Reconnaissance",70
"[HCP,LOW_INTERACTION,IOT,STATIONARY,LATERAL_MOVEMENT]",Connected medical devices low-interaction honeypot.,Detect attackers trying to exploit connected medical devices.,"A simulation of stationary connected medical devices, such as a patient monitor or an infusion pump. The honeypot should simulate the usual network interfaces that the selected device offers for connection and log all interaction attempts, which should be monitored and investigated to identify security threats. Among some popular services, we find SMB, SSH, and FTP. The honeypot could simulate some version of these services with known vulnerabilities in order to be a more appealing target.","Inside the internal network, in the same network segment real stationary devices are located, but isolated from them.  ",Lateral Movement,70
"[HCP,HIGH_INTERACTION,DATA_LEAKS,INSIDER_THREAT,IMPACT]",Database high-interaction honeypot. ,Detect unauthorized access attempts to access medical information.,"A server running a database mimicking an Electronic Health Record System or any other medical repository/database used in your systems. It should contain fake data. Any interaction or attempt to query information should be logged, monitored, and investigated to detect unauthorised access to medical sensitive information. ","Inside the corporate network. If there are other databases, it could reside in the same network segment, but isolated from the real resources. ","Exfiltration, Impact",70
"[HCP,HIGH_INTERACTION,IOT,IMAGING,MISCONFIGURATION,INITIAL_ACCESS,IMPACT]",DICOM server high-interaction honeypot. ,Detect attackers trying to breach a DICOM server.,"A fully functional DICOM server containing fake patient data that logs unauthorized access attempts and interactions. It could be exposed to the internet as if it were misconfigured. It allows DICOM standard operations such as C-ECHO, C-FIND, C-MOVE, and C-STORE. Any queries, modification attempts, or access should be monitored, logged, and investigated to detect potential data threats. DICOM servers typically operate on ports 104, 11112, or 4242. You need to choose the one that best fits your environment.","In the DMZ, in an isolated segment.  ","Inital Access, Exfiltration, Impact",70
"[HCP,HIGH_INTERACTION,IOT,MONITORING,VULNERABILITY,LATERAL_MOVEMENT]",Connected medical devices high-interaction honeypot.,Detect attackers trying to exploit connected medical devices.,"An old patient-monitoring connected medical device, such as an electrocardiogram, blood pressure monitor, or heart rate monitor, with known vulnerabilities, making it appealing to attackers who have breached the internal network. The device should be constantly monitored, and any interaction with it should be studied. Additionally, it is important to properly isolate the device from other resources so that if an attacker breaches it, they cannot pivot toward other resources.","Inside the internal network, in the same network segment that real monitoring devices are located, but isolated from them. ","Exploitation, Privilege Escalation, Lateral Movement",70
"[HCP,HONEYNET,IOT,INITIAL_ACCESS,LATERAL_MOVEMENT,IMPACT]",Honeynet of a Picture Archiving and Communication System (PACS).,Detect attackers trying to exploit  PACS.,"A honeynet of a Picture Archiving and Communication System consisting of honeypots of image acquisition devices, DICOM servers to store the images, and workstations to view the images, mimicking the configuration of other PACS in your network. In order to enhance the simulation, the image acquisition device could send fake data to the server, which would store it and then be queried by the workstation. Any interaction, authentication attempt, data retrieval, or modification request against any device should be logged, monitored, and investigated to detect potential threats.","It is a simulation of an entire network, so it covers all the tactics.","It is a simulation of an entire subnetwork network, so it covers all the tactics.",70
"[ICS,HONEYTOKEN,L3,RANSOMWARE,IMPACT]",ICS honeytoken.,To detect ransomware in engineering workstations. ,"Hidden (so they are not accessed by users) files are scattered throughout various locations in the engineering workstation.The files should be named so that they are the first files in the directory. Any interaction with the files should be monitored, and the process that accessed the files should be stopped.",Engineering workstation.,"Exfiltration, Impact ",70
"[ICS,LOW_INTERACTION,DMZ,RAS,INITIAL_ACCESS]",ICS remote access server low-interaction honeypot.,To detect attackers trying to breach into the ICS.,"A device running a simulation of a Remote Access Server. It prompts log-in but never actually allows anyone in. It is recommended to use the remote connection methods that are used in your real environment. For example, SSH and RDP are some popular options. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",50
"[ICS,LOW_INTERACTION,DMZ,RAS,VULNERABILITY,INITIAL_ACCESS]",ICS remote access server low-interaction honeypot.,To detect attackers trying to breach into the ICS.,"A device running a simulation of a Remote Access Server. It prompts log-in but never actually allows anyone in. It is recommended to use the remote connection methods that are used in your real environment. For example, SSH and RDP are some popular options. In order to be more appealing, it could mimic the vulnerability of an old version of the service, such as RDP's CVE-2020-0660 or SSH's CVE-2012-5975. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",50
"[ICS,LOW_INTERACTION,DMZ,MISCONFIGURATION,INITIAL_ACCESS]",ICS historian database low-interaction honeypot. ,To detect unauthorized access to historian databases. ,"A device simulating a misconfigured historian database in order to track malicious intruders. It could have exposed common database ports like 1433 (MySQL), 1521 (Oracle Database), 5432 (PostGress), etc. Choose the one that better fits your environment. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, specially from  OT. ","Reconnaissance, Initial Access",50
"[ICS,LOW_INTERACTION,L3,MISCONFIGURATION,LATERAL_MOVEMENT]",ICS historian database low-interaction honeypot. ,To detect attackers trying to compromise ICS' operation and control devices. ,"A device simulating a misconfigured historian database in order to track malicious intruders. It could have exposed common database ports like 1433 (MySQL), 1521 (Oracle Database), 5432 (PostGress), etc. Choose the one that better fits your environment. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.",Lateral Movement,50
"[ICS,LOW_INTERACTION,L3,IMPACT]",ICS data exchange server low-interaction honeypot. ,To detect attackers trying to compromise ICS' operation and control devices. ,"A device simulating a Data Exchange Server using the protocol used for data transmission in the real environment. FTP is a popular example. The honeypot could log login and connection attempts but never allow actual connections. Sources of connections should be blocked from accessing other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.",Credential Access ,50
"[ICS,LOW_INTERACTION,L3,VULNERABILITY,LATERAL_MOVEMENT]",ICS data exchange server low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device running a simulation of a Data Exchange Server using the protocol used for data transmission in the real environment. FTP is a popular example. In order to make it more appealing to the attacker, it could simulate and outdated vulnerable version of the protocol. The honeypot could log log-in and connection attempts but never allow actual connections. Sources of connections should be blocked from accessing other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.",Credential Access ,50
"[ICS,LOW_INTERACTION,L2,MISCONFIGURATION,LATERAL_MOVEMENT]",ICS HMI low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device simulating an HMI Interface. It could provide a fake dashboard via a web interface with simulated data. In order to attract attackers, it could simulate that it is not correctly configured and that an admin log-in interface is left exposed. It could also capture the sources of the log-ing attempts or any interaction with the fake services, that should be blocked from being capable of accessing real resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 2:  Control. Isolated from the real resources, especially from OT.","Credential Access, Lateral Movement",50
"[ICS,LOW_INTERACTION,L2,LATERAL_MOVEMENT,IMPACT]",ICS SCADA low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device running a simulation of a misconfigured SCADA Server, simulating that it gathers data from the process layer and sends commands. It could listen to usual communications in the SCADA system (e.g. Secure Mobdus, DNP3, or OPC UA), preferably using the ones deployed in your real environment. Any communication attempt should be logged, investigated, and blocked. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 2:  Control. Isolated from the real resources, especially from OT.","Lateral Movement, Impact ",50
"[ICS,LOW_INTERACTION,L2,LATERAL_MOVEMENT,MISCONFIGURATION,IMPACT]",ICS SCADA low-interaction honeypot. ,To detect attackers trying to disrupt communications in the ICS system. ,"A device running a simulation of a misconfigured SCADA Server, simulating that it gathers data from the process layer and sends commands. One common error is not configuring encrypted communications and instead simply using SCADA protocols that do not have inherent encryption, such as Modbus or DNP3. Using these communications without an encryption layer might attract attackers who aim to intercept and manipulate data transmission. Any communication attempt with the device should be investigated. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise. ","ICS' Layer 2:  Control. Isolated from the real resources, especially from OT.","Lateral Movement, Impact ",50
"[ICS,LOW_INTERACTION,L1,LATERAL_MOVEMENT]",PLC/RTU low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"Simulation of a PLC/RTU device communicating with a SCADA Server. It is recommended to mimic the model of the real devices in the system as well as the communications used. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.	","ICS' Layer 1:  Process. Isolated from the real resources, especially from OT.",Lateral Movement,50
"[ICS,LOW_INTERACTION,L1,VULNERABILITY,IMPACT]",PLC low-interaction honeypot.,To detect attackers trying to compromise ICS Process Devices,"Simulation of a vulnerable PLC device. Siemens is one of the most simulated PLC brands in honeypots, as they account for a wide variety of disclosed vulnerabilities. It could mimic usual PLC communications and monitor for vulnerability exploitation attempts. Any communication/interaction attempt should be logged, investigated, and blocked. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 1:  Process. Isolated from the real resources, especially from OT.",Impact,50
"[ICS,LOW_INTERACTION,L1,MISCONFIGURATION,IMPACT]",PLC/RTU low-interaction honeypot.,To detect attackers trying to exploit misconfigurations in the ICS system. ,"Simulation of a PLC/RTU device communicating with a SCADA Server. It is recommended to mimic the model of the real PLC/RTU in the system. One common error is not configuring encrypted communications and instead simply using SCADA protocols that do not have inherent encryption, such as Modbus or DNP3. Using these communications without an encryption layer might attract attackers who aim to intercept and manipulate data transmission. Any communication attempt with the device should be investigated. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise. ","ICS' Layer 1:  Process. Isolated from the real resources, especially from OT.",Impact,50
"[ICS,HIGH_INTERACTION,DMZ,HISTORIAN_DB,VULNERABILITY,INITIAL_ACCESS]",ICS historian database high-interaction honeypot.  ,To detect attackers trying to breach inside the ICS. ,"A fully functional computer running a historian database. In order to attract attackers, it could be a computer running a legacy or a vulnerable system. It should be monitored and adequately isolated from the production resources so the attackers cannot pivot if breached.  No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from real resources. ",Initial Access,50
"[ICS,L2,L3,HONEYNET,INITIAL_ACCESS,LATERAL_MOVEMENT,IMPACT]",ICS SCADA System honeynet.,To detect attackers trying to attack the ICS. ,"A software simulation of an Industrial Control System (ICS) network includes a Honeywall (a firewall designed for a honeynet) and Quickdraw IDS signatures for monitoring (an Intrusion Detection System ruleset tailored for ICS). Within the honeynet, various devices emulate the typical services found in ICS environments. For example, an automated medicine production line ICS honeynet could feature a Human-Machine Interface (HMI) that uses HTTP for web-based management, a Data Exchange Server that utilizes FTP to transfer batch data and quality reports between systems, and Programmable Logic Controllers (PLCs) that operate physical components of production equipment, such as mixers, tablet presses, and environmental control units. You need to create a honeynet that makes sense in your environment, as the objective of the simulation is to deceive attackers, analyze their behaviour, and raise alerts so that further intrusions can be prevented. ","ICS' network, isolated from real resources. ","It is a simulation of an entire network, so it covers all the tactics.",50
