Tags,Type,Objective,Description,Location,Mitre,InitialScore
"[CORPORATION,HIGH_INTERACTION,DATABASE,VULNERABILITY,DATA_LEAKS,LATERAL_MOVEMENT,CLOUD]",Database high-interaction honeypot. ,Attackers trying to exploit vulnerabilities and gain unouthorised access to a database. ,"A server running an outdated version of a database that has known vulnerabilities. Any exploitation attempts should be logged, monitored, and investigated to detect unauthorized access to the enterprise network. Requests originating from other devices inside the corporate network could indicate that an attacker has breached the network. The honeypot must be completely isolated from other corporate resources, ensuring that attackers cannot pivot to critical systems if they gain access.","Cloud deployment. If applications use real databases, the server can reside in the same network zone but be isolated using subnetting.","Priviledge Escalation, Exfiltration, Collection, Impact",70
"[CORPORATION,HIGH_INTERACTION,DATABASE,VULNERABILITY,DATA_LEAKS,LATERAL_MOVEMENT,ON_PREM]",Database high-interaction honeypot. ,Attackers trying to exploit vulnerabilities and gain unouthorised access to a database. ,"A server running an outdated version of a database that has known vulnerabilities. Any exploitation attempts should be logged, monitored, and investigated to detect unauthorized access to the enterprise network. Requests originating from other devices inside the corporate network could indicate that an attacker has breached the network. The honeypot must be completely isolated from other corporate resources, ensuring that attackers cannot pivot to critical systems if they gain access.","Inside the corporate network, isolated from reaching real resources via subnetting","Priviledge Escalation, Exfiltration, Collection, Impact",70
"[CORPORATION,HIGH_INTERACTION,HONEYNET,LATERAL_MOVEMENT,INITIAL_ACCESS,IMPACT]",Honeynet.,Attackers trying to breach the corporate inner network. ,"A decoy copy of the production network environment. It should mimic the real environment's architecture, services, and data flows to appear as authentic as possible. It should contain decoy systems like servers, databases, and endpoints with realistic but fake data. Some honeynets even generate simulated network traffic in order to be indistinguishable from the real network. Any interaction with the honeynet should be monitored, logged, and investigated to detect potential threats and prevent them from reaching the production network. It could also be used to investigate attacker's behaviour, learn their tactics and use it to secure the production environment.","Inside the corporate network, behind a honeywall, completely isolated from the actual production systems.  ","It is a simulation of an entire network, so it covers all the tactics.",50
"[RAILWAY,LOW_INTERACTION,IOT,LATERAL_MOVEMENT,IMPACT]",Ticket vending machine low-interaction honeypot.,Attackers trying to disrupt ticketing services.,"A honeypot simulating a ticket vending machine. It should mimic the exposed services of real machines in the network. Some use HTTP/HTTPS for web transactions, others have FTP enabled, and certain brands operate on specific ports for remote connections. The honeypot should match the services relevant to your infrastructure. In any case, no legitimate interaction is expected, so any attempt should be monitored, logged, and prevented from reaching other resources within the network.","Inside the network where other ticket vending machines reside, but segmented from any real resource. ","Lateral Movememt, Exploitation, Impact ",70
"[RAILWAY,LOW_INTERACTION,IOT,MISCONFIGURATIONS,INITIAL_ACCESS]",Low-interaction IoT honeypot.,Detect attackers trying to tamper with railway security systems. ,"A simulation of a misconfigured security camera that has left its web-viewing interface exposed, making it appear unsecured or poorly configured. No legitimate interaction is expected, so any attempt should be monitored, logged, and prevented from reaching other legitimate resources in the network.  ","DMZ or network segment where internet-connected devices reside, but isolated from them. ","Initial Access, Credential Access",70
"[RAILWAY,LOW_INTERACTION,IOT,VULNERABILITY,LATERAL_MOVEMENT]",Low interaction train informatin display board honeypot,Detect attackers trying to exploit vulnerabilities in the railway IT infrastructure.,"A simulation of an old display board that runs a vulnerable version of some commonly used protocols in such devices, such as HTTP or SSH for remote management and FTP for content transfer. Adapt the services the honeypot emulates to suit the ones used by your specific devices. As it emulates a vulnerable device, it will lure attackers towards it instead of the real infrastructure. No legitimate interaction is expected, so any attempt should be monitored, logged, and prevented from reaching other resources within the network.","Inside the network where other display boards reside, but isolated from them. ","Lateral Movememt, Exploitation, Impact ",70
"[ICS,HONEYTOKEN,L3,RANSOMWARE,IMPACT]",ICS honeytoken.,To detect ransomware in engineering workstations. ,"Hidden (so they are not accessed by users) files are scattered throughout various locations in the engineering workstation.The files should be named so that they are the first files in the directory. Any interaction with the files should be monitored, and the process that accessed the files should be stopped.",Engineering workstation.,"Exfiltration, Impact ",70
"[ICS,LOW_INTERACTION,DMZ,RAS,INITIAL_ACCESS]",ICS remote access server low-interaction honeypot.,To detect attackers trying to breach into the ICS.,"A device running a simulation of a Remote Access Server. It prompts log-in but never actually allows anyone in. It is recommended to use the remote connection methods that are used in your real environment. For example, SSH and RDP are some popular options. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",50
"[ICS,LOW_INTERACTION,DMZ,RAS,VULNERABILITY,INITIAL_ACCESS]",ICS remote access server low-interaction honeypot.,To detect attackers trying to breach into the ICS.,"A device running a simulation of a Remote Access Server. It prompts log-in but never actually allows anyone in. It is recommended to use the remote connection methods that are used in your real environment. For example, SSH and RDP are some popular options. In order to be more appealing, it could mimic the vulnerability of an old version of the service, such as RDP's CVE-2020-0660 or SSH's CVE-2012-5975. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",50
"[ICS,LOW_INTERACTION,DMZ,MISCONFIGURATION,INITIAL_ACCESS]",ICS historian database low-interaction honeypot. ,To detect unauthorized access to historian databases. ,"A device simulating a misconfigured historian database in order to track malicious intruders. It could have exposed common database ports like 1433 (MySQL), 1521 (Oracle Database), 5432 (PostGress), etc. Choose the one that better fits your environment. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",50
"[ICS,LOW_INTERACTION,L3,MISCONFIGURATION,LATERAL_MOVEMENT]",ICS historian database low-interaction honeypot. ,To detect attackers trying to compromise ICS' operation and control devices. ,"A device simulating a misconfigured historian database in order to track malicious intruders. It could have exposed common database ports like 1433 (MySQL), 1521 (Oracle Database), 5432 (PostGress), etc. Choose the one that better fits your environment. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.",Lateral Movement,50
"[ICS,LOW_INTERACTION,L3,IMPACT]",ICS data exchange server low-interaction honeypot. ,To detect attackers trying to compromise ICS' operation and control devices. ,"A device simulating a Data Exchange Server using the protocol used for data transmission in the real environment. FTP is a popular example. The honeypot could log login and connection attempts but never allow actual connections. Sources of connections should be blocked from accessing other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.",Credential Access ,50
"[ICS,LOW_INTERACTION,L3,VULNERABILITY,LATERAL_MOVEMENT]",ICS data exchange server low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device running a simulation of a Data Exchange Server using the protocol used for data transmission in the real environment. FTP is a popular example. In order to make it more appealing to the attacker, it could simulate and outdated vulnerable version of the protocol. The honeypot could log log-in and connection attempts but never allow actual connections. Sources of connections should be blocked from accessing other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.","Lateral Movement, Credential Access ",50
"[ICS,LOW_INTERACTION,L2,MISCONFIGURATION,LATERAL_MOVEMENT]",ICS HMI low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device simulating an HMI Interface. It could provide a fake dashboard via a web interface with simulated data. In order to attract attackers, it could simulate that it is not correctly configured and that an admin log-in interface is left exposed. It could also capture the sources of the log-ing attempts or any interaction with the fake services, that should be blocked from being capable of accessing real resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 2:  Control. Isolated from the real resources, especially from OT.","Credential Access, Lateral Movement",50
"[ICS,LOW_INTERACTION,L2,LATERAL_MOVEMENT,IMPACT]",ICS SCADA low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device running a simulation of a misconfigured SCADA Server, simulating that it gathers data from the process layer and sends commands. It could listen to usual communications in the SCADA system (e.g. Secure Mobdus, DNP3, or OPC UA), preferably using the ones deployed in your real environment. Any communication attempt should be logged, investigated, and blocked. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 2:  Control. Isolated from the real resources, especially from OT.","Lateral Movement, Impact ",50
"[ICS,LOW_INTERACTION,L2,LATERAL_MOVEMENT,MISCONFIGURATION,IMPACT]",ICS SCADA low-interaction honeypot. ,To detect attackers trying to disrupt communications in the ICS system. ,"A device running a simulation of a misconfigured SCADA Server, simulating that it gathers data from the process layer and sends commands. One common error is not configuring encrypted communications and instead simply using SCADA protocols that do not have inherent encryption, such as Modbus or DNP3. Using these communications without an encryption layer might attract attackers who aim to intercept and manipulate data transmission. Any communication attempt with the device should be investigated. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise. ","ICS' Layer 2:  Control. Isolated from the real resources, especially from OT.","Lateral Movement, Impact ",50
"[ICS,LOW_INTERACTION,L1,LATERAL_MOVEMENT]",PLC/RTU low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"Simulation of a PLC/RTU device communicating with a SCADA Server. It is recommended to mimic the model of the real devices in the system as well as the communications used. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.	","ICS' Layer 1:  Process. Isolated from the real resources, especially from OT.",Lateral Movement,50
"[ICS,LOW_INTERACTION,L1,VULNERABILITY,IMPACT]",PLC low-interaction honeypot.,To detect attackers trying to compromise ICS Process Devices,"Simulation of a vulnerable PLC device. Siemens is one of the most simulated PLC brands in honeypots, as they account for a wide variety of disclosed vulnerabilities. It could mimic usual PLC communications and monitor for vulnerability exploitation attempts. Any communication/interaction attempt should be logged, investigated, and blocked. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 1:  Process. Isolated from the real resources, especially from OT.",Impact ,50
"[ICS,LOW_INTERACTION,L1,MISCONFIGURATION,IMPACT]",PLC/RTU low-interaction honeypot.,To detect attackers trying to exploit misconfigurations in the ICS system. ,"Simulation of a PLC/RTU device communicating with a SCADA Server. It is recommended to mimic the model of the real PLC/RTU in the system. One common error is not configuring encrypted communications and instead simply using SCADA protocols that do not have inherent encryption, such as Modbus or DNP3. Using these communications without an encryption layer might attract attackers who aim to intercept and manipulate data transmission. Any communication attempt with the device should be investigated. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise. ","ICS' Layer 1:  Process. Isolated from the real resources, especially from OT.",Impact ,50
"[ICS,HIGH_INTERACTION,DMZ,HISTORIAN_DB,VULNERABILITY,INITIAL_ACCESS]",ICS historian database high-interaction honeypot.  ,To detect attackers trying to breach inside the ICS. ,"A fully functional computer running a historian database. In order to attract attackers, it could be a computer running a legacy or a vulnerable system. It should be monitored and adequately isolated from the production resources so the attackers cannot pivot if breached.  No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from real resources. ",Initial Access,50
"[ICS,L2,L3,HONEYNET,INITIAL_ACCESS,RAILWAY,LATERAL_MOVEMENT,IMPACT]",ICS SCADA System Honeynet.,To detect attackers trying to breach inside the ICS. ,"A software simulation of a railway infrastructure network featuring a Honeywall (a firewall for the honeynet) and Quickdraw IDS signatures for monitoring (an IDS ruleset designed for ICS). Inside the honeynet, various devices simulate the common services found in railway systems. For example, an HMI with HTTP for managing the Train Control System, a Data Exchange Server with FTP to transfer operational data and logs, and PLCs to control critical systems such as the train's propulsion, brakes system, or signal control. The honeynet is designed to deceive attackers, monitor their behaviour, and prevent unauthorised access to railway systems.","ICS' network, isolated from real resources. ","As it is a simulation of an entire ICS network, it covers all the tactics. ",50
