Tags,Type,Objective,Description,Location,Mitre,InitialScore
"[CORPORATION,HIGH_INTERACTION,DATABASE,VULNERABILITY,DATA_LEAKS,LATERAL_MOVEMENT,CLOUD]",Database high-interaction honeypot. ,Attackers trying to exploit vulnerabilities and gain unouthorised access to a database. ,"A server running an outdated version of a database that has known vulnerabilities. Any exploitation attempts should be logged, monitored, and investigated to detect unauthorized access to the enterprise network. Requests originating from other devices inside the corporate network could indicate that an attacker has breached the network. The honeypot must be completely isolated from other corporate resources, ensuring that attackers cannot pivot to critical systems if they gain access.","Cloud deployment. If applications use real databases, the server can reside in the same network zone but be isolated using subnetting.","Priviledge Escalation, Exfiltration, Collection, Impact",70
"[CORPORATION,HIGH_INTERACTION,DATABASE,VULNERABILITY,DATA_LEAKS,LATERAL_MOVEMENT,ON_PREM]",Database high-interaction honeypot. ,Attackers trying to exploit vulnerabilities and gain unouthorised access to a database. ,"A server running an outdated version of a database that has known vulnerabilities. Any exploitation attempts should be logged, monitored, and investigated to detect unauthorized access to the enterprise network. Requests originating from other devices inside the corporate network could indicate that an attacker has breached the network. The honeypot must be completely isolated from other corporate resources, ensuring that attackers cannot pivot to critical systems if they gain access.","Inside the corporate network, isolated from reaching real resources via subnetting","Priviledge Escalation, Exfiltration, Collection, Impact",70
"[CORPORATION,HIGH_INTERACTION,HONEYNET,LATERAL_MOVEMENT,INITIAL_ACCESS,IMPACT]",Honeynet.,Attackers trying to breach the corporate inner network. ,"A decoy copy of the production network environment. It should mimic the real environment's architecture, services, and data flows to appear as authentic as possible. It should contain decoy systems like servers, databases, and endpoints with realistic but fake data. Some honeynets even generate simulated network traffic in order to be indistinguishable from the real network. Any interaction with the honeynet should be monitored, logged, and investigated to detect potential threats and prevent them from reaching the production network. It could also be used to investigate attacker's behaviour, learn their tactics and use it to secure the production environment.","Inside the corporate network, behind a honeywall, completely isolated from the actual production systems.  ","It is a simulation of an entire network, so it covers all the tactics.",50
"[SHIP,LOW_INTERACTION,VULNERABILITY,IOT,INITIAL_ACCESS,IMPACT]",SATCOM remote access terminal low-interaction  honeypot.,To attract attackers trying to breach into the Integrated Bridge System (IBS).,"A simulation of a vulnerable SATCOM remote access terminal, choose a model and vulnerabilities that fit within your ship's network environment. An example could be CVE-2013-6035, where vulnerable terminals do not require authentication for sessions on port 1827, allowing attackers to execute arbitrary code. The honeypot could simulate a SATCOM terminal model and version susceptible to that vulnerability, listening for connections in the mentioned port and awaiting attackers looking to exploit it. No legitimate interaction is expected, so any attempt should be monitored, logged, and prevented from reaching other network resources as it is likely malicious.","In the Integrated Bridge System (IBS), isolated from other resources. ","Initial Access, Execution, Impact",70
"[SHIP,LOW_INTERACTION,IOT,LATERAL_MOVEMENT,IMPACT]",Low-interaction honeypot.,To attract attackers that have breached the ship's network. ,"A simulation of a service commonly found in your ship's network. An example could be a simulation of an FTP server mimicking the ones found in Electronic Chart Displays and Information Systems (ECDIS) for chart data transfer. It could mimic the FTP service login, prompting attackers to enter credentials but always failing and denying access. No legitimate interaction is expected with the service, so any attempt should be logged, monitored, and prevented from reaching real systems in the network.","In an isolated segment of the ship's network where the device it is mimicking resides. In this example, it would be an isolated segment of the network where maritime navigation systems reside.","Lateral Movement, Impact",70
"[SHIP,LOW_INTERACTION,IOT,INITIAL_ACCESS,IMPACT]",Low-Interaction IoT honeypot.,Detect attackers trying to breach inside ship's systems.,"A honeypot running a simulation of a security camera. It should mimic the services found in your other cameras in order not to stand out. Some examples include HTTP for web access to configuration and streaming, SSH for remote access, and FTP for sending footage. In any case, no legitimate interaction is expected with any service, so any attempt should be monitored, logged, and prevented from reaching other legitimate resources in the network.","Inside the same network other security cameras reside, but isolated from them. In this way, if the honeypot is compromised, the attacker cannot pivot.","Initial Access, Execution, Credential Access, Impact",70
"[SHIP,HIGH_INTERACTION,IOT,LATERAL_MOVEMENT,IMPACT]",High interaction honeypot ,To attract attackers that have breached the ship's network. ,"A honeypot mimicking an Electronic Chart Display and Information System (ECDIS). It should allow attackers to interact with services often exposed in ECDIS, such as FTP for file transfers to receive chart updates, HTTP for web-content display, and SSH for remote administration. The honeypot provides attackers with a real system to interact with, featuring fake files, interfaces, and communications, making it difficult for the attacker to determine whether they are in a decoy. It must be adequately isolated to ensure the attacker cannot pivot if they manage to breach it. No legitimate interaction is expected with any service, so any attempt should be monitored, logged, and prevented from reaching other legitimate resources in the network.",In  an isolated segment of the network where maritime navigation systems reside.,"Lateral Movement, Impact",70
"[SHIP,HONEYNET,VULNERABILITY,INITIAL_ACCESS,LATERAL_MOVEMENT,IMPACT]",Integrated Bridge System (IBS) Honeynet ,To detect attackers trying to compromise the ship's systems.,"Honeynet designed to simulate an IBS whose entry point is a vulnerable SATCOM remote access terminal. To create an environment that is difficult to distinguish from a real IBS, the honeynet should mimic various onboard components. Hence, it should include elements such as the Electronic Chart Display Information System (ECDIS), SATCOM, Automatic Identification System (AIS), Long-Range Identification and Tracking, VHF communications, and Voyage Data Recorder (VDR), or any other relevant system present on your ship and mimic similar configurations. In this way, the honeynet not only serves to alert but also to study how the real systems can be attacked and improved.","An isolated segment of the ship's network, ensuring attackers who breach the honeynet cannot access other resources.","It is a simulation of an entire network, so it covers all the tactics.",70
"[PORT,LOW_INTERACTION,IOT,LATERAL_MOVEMENT]",Low-Interaction IoT honeypot.,Detect attackers inside the port's network.,"A honeypot running a simulation of a security camera. It should mimic the services found in your other cameras in order not to stand out. Some examples include HTTP for web access to configuration and streaming, SSH for remote access, and FTP for sending footage. In any case, no legitimate interaction is expected with any service, so any attempt should be monitored, logged, and prevented from reaching other legitimate resources in the network.","Inside the same network other security cameras reside, but isolated. ","Lateral_movement, Impact",50
"[PORT,LOW_INTERACTION,IOT,INITIAL_ACCESS,MISCONFIGURATION]",Low-Interaction IoT honeypot.,Detect attackers trying to breach inside the port's network.,"A simulation of a misconfigured security camera that has left its web-viewing interface open, making it appear unsecured or poorly configured. No legitimate interaction is expected, so any attempt should be monitored, logged, and prevented from reaching other legitimate resources in the network.  ","DMZ or network segment accessible via the internet, isolated from real resources.","Initial Access, Execution, Credential Access, Impact",50
"[ICS,HONEYTOKEN,L3,RANSOMWARE,IMPACT]",ICS honeytoken.,To detect ransomware in engineering workstations. ,"Hidden (so they are not accessed by users) files are scattered throughout various locations in the engineering workstation.The files should be named so that they are the first files in the directory. Any interaction with the files should be monitored, and the process that accessed the files should be stopped.",Engineering workstation.,"Exfiltration, Impact ",70
"[ICS,LOW_INTERACTION,DMZ,RAS,INITIAL_ACCESS]",ICS remote access server low-interaction honeypot.,To detect attackers trying to breach into the ICS.,"A device running a simulation of a Remote Access Server. It prompts log-in but never actually allows anyone in. It is recommended to use the remote connection methods that are used in your real environment. For example, SSH and RDP are some popular options. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",50
"[ICS,LOW_INTERACTION,DMZ,RAS,VULNERABILITY,INITIAL_ACCESS]",ICS remote access server low-interaction honeypot.,To detect attackers trying to breach into the ICS.,"A device running a simulation of a Remote Access Server. It prompts log-in but never actually allows anyone in. It is recommended to use the remote connection methods that are used in your real environment. For example, SSH and RDP are some popular options. In order to be more appealing, it could mimic the vulnerability of an old version of the service, such as RDP's CVE-2020-0660 or SSH's CVE-2012-5975. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",50
"[ICS,LOW_INTERACTION,DMZ,MISCONFIGURATION,INITIAL_ACCESS]",ICS historian database low-interaction honeypot. ,To detect unauthorized access to historian databases. ,"A device simulating a misconfigured historian database in order to track malicious intruders. It could have exposed common database ports like 1433 (MySQL), 1521 (Oracle Database), 5432 (PostGress), etc. Choose the one that better fits your environment. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",50
"[ICS,LOW_INTERACTION,L3,MISCONFIGURATION,LATERAL_MOVEMENT]",ICS historian database low-interaction honeypot. ,To detect attackers trying to compromise ICS' operation and control devices. ,"A device simulating a misconfigured historian database in order to track malicious intruders. It could have exposed common database ports like 1433 (MySQL), 1521 (Oracle Database), 5432 (PostGress), etc. Choose the one that better fits your environment. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.",Lateral Movement,50
"[ICS,LOW_INTERACTION,L3,IMPACT]",ICS data exchange server low-interaction honeypot. ,To detect attackers trying to compromise ICS' operation and control devices. ,"A device simulating a Data Exchange Server using the protocol used for data transmission in the real environment. FTP is a popular example. The honeypot could log login and connection attempts but never allow actual connections. Sources of connections should be blocked from accessing other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.",Credential Access ,50
"[ICS,LOW_INTERACTION,L3,VULNERABILITY,LATERAL_MOVEMENT]",ICS data exchange server low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device running a simulation of a Data Exchange Server using the protocol used for data transmission in the real environment. FTP is a popular example. In order to make it more appealing to the attacker, it could simulate and outdated vulnerable version of the protocol. The honeypot could log log-in and connection attempts but never allow actual connections. Sources of connections should be blocked from accessing other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.","Lateral Movement, Credential Access ",50
"[ICS,LOW_INTERACTION,L2,MISCONFIGURATION,LATERAL_MOVEMENT]",ICS HMI low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device simulating an HMI Interface. It could provide a fake dashboard via a web interface with simulated data. In order to attract attackers, it could simulate that it is not correctly configured and that an admin log-in interface is left exposed. It could also capture the sources of the log-ing attempts or any interaction with the fake services, that should be blocked from being capable of accessing real resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 2:  Control. Isolated from the real resources, especially from OT.","Credential Access, Lateral Movement",50
"[ICS,LOW_INTERACTION,L2,LATERAL_MOVEMENT,IMPACT]",ICS SCADA low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device running a simulation of a misconfigured SCADA Server, simulating that it gathers data from the process layer and sends commands. It could listen to usual communications in the SCADA system (e.g. Secure Mobdus, DNP3, or OPC UA), preferably using the ones deployed in your real environment. Any communication attempt should be logged, investigated, and blocked. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 2:  Control. Isolated from the real resources, especially from OT.","Lateral Movement, Impact ",50
"[ICS,LOW_INTERACTION,L2,LATERAL_MOVEMENT,MISCONFIGURATION,IMPACT]",ICS SCADA low-interaction honeypot. ,To detect attackers trying to disrupt communications in the ICS system. ,"A device running a simulation of a misconfigured SCADA Server, simulating that it gathers data from the process layer and sends commands. One common error is not configuring encrypted communications and instead simply using SCADA protocols that do not have inherent encryption, such as Modbus or DNP3. Using these communications without an encryption layer might attract attackers who aim to intercept and manipulate data transmission. Any communication attempt with the device should be investigated. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise. ","ICS' Layer 2:  Control. Isolated from the real resources, especially from OT.","Lateral Movement, Impact ",50
"[ICS,LOW_INTERACTION,L1,LATERAL_MOVEMENT]",PLC/RTU low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"Simulation of a PLC/RTU device communicating with a SCADA Server. It is recommended to mimic the model of the real devices in the system as well as the communications used. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.	","ICS' Layer 1:  Process. Isolated from the real resources, especially from OT.",Lateral Movement,50
"[ICS,LOW_INTERACTION,L1,VULNERABILITY,IMPACT]",PLC low-interaction honeypot.,To detect attackers trying to compromise ICS Process Devices,"Simulation of a vulnerable PLC device. Siemens is one of the most simulated PLC brands in honeypots, as they account for a wide variety of disclosed vulnerabilities. It could mimic usual PLC communications and monitor for vulnerability exploitation attempts. Any communication/interaction attempt should be logged, investigated, and blocked. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS' Layer 1:  Process. Isolated from the real resources, especially from OT.",Impact ,50
"[ICS,LOW_INTERACTION,L1,MISCONFIGURATION,IMPACT]",PLC/RTU low-interaction honeypot.,To detect attackers trying to exploit misconfigurations in the ICS system. ,"Simulation of a PLC/RTU device communicating with a SCADA Server. It is recommended to mimic the model of the real PLC/RTU in the system. One common error is not configuring encrypted communications and instead simply using SCADA protocols that do not have inherent encryption, such as Modbus or DNP3. Using these communications without an encryption layer might attract attackers who aim to intercept and manipulate data transmission. Any communication attempt with the device should be investigated. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise. ","ICS' Layer 1:  Process. Isolated from the real resources, especially from OT.",Impact ,50
"[ICS,HIGH_INTERACTION,DMZ,HISTORIAN_DB,VULNERABILITY,INITIAL_ACCESS]",ICS historian database high-interaction honeypot.  ,To detect attackers trying to breach inside the ICS. ,"A fully functional computer running a historian database. In order to attract attackers, it could be a computer running a legacy or a vulnerable system. It should be monitored and adequately isolated from the production resources so the attackers cannot pivot if breached.  No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from real resources. ",Initial Access,50
"[ICS,L2,L3,HONEYNET,PORT,INITIAL_ACCESS,LATERAL_MOVEMENT,IMPACT]",ICS SCADA System Honeynet.,To detect attackers trying to breach ICS. ,"A software simulation of a port's cargo management ICS network featuring a Honeywall (a firewall for the honeynet) and Quickdraw IDS signatures for monitoring (an IDS ruleset designed for ICS). The honeynet simulates the key services found in a cargo management system, such as an HMI with HTTP for web-based monitoring and control of cargo handling operations, a Data Exchange Server with FTP for transferring cargo logistics data, and PLCs that control the movement of cargo handling equipment such as cranes or conveyors. The honeynet is designed to mislead attackers and study their tactics while ensuring no impact on actual port systems.","ICS' network, isolated from real resources. ","As it is a simulation of an entire ICS network, it covers all the tactics. ",50
"[ICS,L2,L3,HONEYNET,INITIAL_ACCESS,LATERAL_MOVEMENT,IMPACT]",ICS SCADA System Honeynet.,To detect attackers trying to breach ICS. ,"A software simulation of ICS network. With a Honeywall (a firewall for the honeynet) and Quickdraw IDS signatures for monitoring (IDS ruleset designed for ICS). Inside the honeynet, different devices emulate the usual services found inside ICS networks: HMI with HTTP for web-based management, Data Exchange Server with FTP, PLC, etc. Its objective is to entertain the attacker and study its behaviour.","ICS' network, isolated from real resources. ","As it is a simulation of an entire ICS network, it covers all the tactics. ",50
