Tags,Type,Objective,Description,Location,Mitre,InitialScore
"[CORPORATION,LOW_INTERACTION,REMOTE_ACCESS,CLOUD,INITIAL_ACCESS]",Remote access control server low-interaction honeypot.,Detect attackers trying to eestablish unauthorised remote connections.,"A simulation of a remote access server/service that logs connection attempts, usernames, and passwords. It listens on the ports used by RDP, SSH, or any similar technology in your environment. The honeypot could mimic an authentication process but must always fail the login attempts and terminate the connection. No legitimate interaction is expected, so request sources must be logged, investigated, and prevented from accessing real resources. ","Cloud deployment, if other VMs are accessible via RDP, it could reside in the same network zone but isolated from other resources via subnetting. ","Initial Access, Credential Access",10
"[CORPORATION,LOW_INTERACTION,REMOTE_ACCESS,ON_PREM,INITIAL_ACCESS]",Remote access control server low-interaction honeypot.,Detect attackers trying to eestablish unauthorised remote connections.,"A simulation of a remote access server/service that logs connection attempts, usernames, and passwords. It listens on the ports used by RDP, SSH, or any similar technology in your environment. The honeypot could mimic an authentication process but must always fail the login attempts and terminate the connection. No legitimate interaction is expected, so request sources must be logged, investigated, and prevented from accessing real resources. ","On-premise, in the DMZ. It should be isolated from the internal network and other resources in the DMZ. ","Initial Access, Credential Access",10
"[CORPORATION,LOW_INTERACTION,LATERAL_MOVEMENT,EMPLOYEE_ENDPOINT]",RDP low-interaction honeypot.,Detect insiders trying to eestablish unauthorised RDP connections. It is a common method used for lateral movement once the attacker is inside the network. ,"Simulation of an endpoint that left RDP services open, which is a frequent lateral movement vector. It logs connection attempts, usernames, and passwords. It listens on the RDP port (3389) and mimics the log-in interface, but it always fails to log in and ends the connection. Request sources should be isolated and investigated, as an attacker could have compromised them.","Inside the corporate network, where other endpoint reside and isolated from other resources via subnetting. ",Lateral Movement,10
"[CORPORATION,LOW_INTERACTION,WEB_SERVICES,MISCONFIGURATION,INITIAL_ACCESS]",API low-interaction honeypot.,Detect attackers trying to compromise the web services. ,"A decoy endpoint in the API of the web services. It could be named /admin or something similar in order to attract attackers. Moreover, it could provide attackers with a fake login screen that never allows access while monitoring login attempts of potential intruders, alerting and preventing them from breaching real resources.",In the web services' API.,"Initial Access, Credential Access",10
"[CORPORATION,LOW_INTERACTION,VULNERABILITY,LATERAL_MOVEMENT,CLOUD]",Vulnerable internal server low-interaction honeypot.,Detect attackers trying to compromise servers in the inner network. ,"A server that simulates a vulnerable version of a service in order to attract attackers. It is recommended to choose one service that is present in the real environment. An example would be a computer that simulates FTP services vulnerable to a disclosed/known vulnerability. Request sources should be isolated and investigated, as they could have been compromised by an attacker.","Inside the corporate network, isolated from other resources via subnetting. ",Lateral Movement,10
"[CORPORATION,LOW_INTERACTION,VULNERABILITY,LATERAL_MOVEMENT,ON_PREM]",Vulnerable internal server low-interaction honeypot.,Detect attackers trying to compromise servers in the inner network. ,"A server that simulates a vulnerable version of a service in order to attract attackers. It is recommended to choose one service that is present in the real environment. An example would be a computer that simulates FTP services vulnerable to a disclosed/known vulnerability. Request sources should be isolated and investigated, as they could have been compromised by an attacker.","Cloud deployment, isolated from other resources via subnetting (VPC/Vnet).",Lateral Movement,10
"[CORPORATION,LOW_INTERACTION,MISCONFIGURATION,ON_PREM,INITIAL_ACCESS]",Misconfigured IoT device low-interaction honeypot.,Detect attackers trying to compromise IoT. ,"A simulation of a misconfigured IoT device that is commonly found in your organization's network environment. Some common IoT vulnerabilities include default passwords, excessive port exposure, and open administrative interfaces. The honeypot could, for example, mimic the web login interface of a CCTV camera or a printer with unnecessary open ports, attracting attackers attempting to exploit these weaknesses. In any case, no legitimate interaction is expected with the device, so any interaction source should be logged, investigated and prevented from being capable of reaching other resources.","DMZ or Inner corporate network. Regardless, it should be isolated via subnetting from other resources. ","Initial Access, Credential Access, Lateral Movement",10
"[CORPORATION,HIGH_INTERACTION,LATERAL_MOVEMENT]",Directory services server high-interaction honeypot.,Attackers trying to pivot or gain priviledges inside the corporate network. ,"A server running the preferred directory services (it is recommended to use one that is used in the real environment). An example could be an AD Domain Controller (AD DC) or an OpenLDAP server. Any authentication attempt or interaction with the server should be logged, monitored, and investigated to detect unauthorized access, credential stuffing, or reconnaissance activities.","Inside the corporate network, isolated from reaching real resources via subnetting","Credential Access, Privilege Escalation, Lateral Movement",10
"[CORPORATION,HIGH_INTERACTION,MAILSERVER,ON_PREM,PHISHING,INITIAL_ACCESS]",Mail server spam trap high-interaction honeypot.,Detect spam and phishing attempts.,"A SMTP server that blacklists any interaction. No authentic mail is expected, so it will likely be spam or phishing. It can monitor decoy email addresses, for example abandoned addresses that are no longer in use or addresses hidden on websites that would only be visible to bots. ","On-premise, in the DMZ. It must be isolated from the actual mail server, so that it is not exposed to legitimate traffic. ","Reconnaissance, Resource Development, Initial Access ",10
"[CORPORATION,HIGH_INTERACTION,MAILSERVER,CLOUD,PHISHING,INITIAL_ACCESS]",Mail server spam trap high-interaction honeypot.,Detect spam and phishing attempts.,"A SMTP server that blacklists any interaction.  No authentic mail is expected, so it will likely be spam or phishing. It can monitor decoy email addresses, for example abandoned addresses that are no longer in use or addresses hidden on websites that would only be visible to bots. ","Cloud-based VM, within an isolated VPC/VNet subnet (isolated from the production mail system).  ","Reconnaissance, Resource Development, Initial Access ",10
"[CORPORATION,HIGH_INTERACTION,DATABASE_EMPLOYEE,DATABASE_CUSTOMER,VULNERABILITY,DATA_LEAKS,LATERAL_MOVEMENT,CLOUD,IMPACT]",Database high-interaction honeypot. ,Attackers trying to exploit vulnerabilities and gain unouthorised access to a database. ,"A server running an outdated version of a database that has known vulnerabilities. Any exploitation attempts should be logged, monitored, and investigated to detect unauthorized access to the enterprise network. Requests originating from other devices inside the corporate network could indicate that an attacker has breached the network. The honeypot must be completely isolated from other corporate resources, ensuring that attackers cannot pivot to critical systems if they gain access.","Cloud deployment. If applications use real databases, the server can reside in the same network zone but be isolated using subnetting.","Priviledge Escalation, Exfiltration, Collection, Impact",10
"[CORPORATION,HIGH_INTERACTION,DATABASE_EMPLOYEE,DATABASE_CUSTOMER,VULNERABILITY,DATA_LEAKS,LATERAL_MOVEMENT,ON_PREM,IMPACT]",Database high-interaction honeypot. ,Attackers trying to exploit vulnerabilities and gain unouthorised access to a database. ,"A server running an outdated version of a database that has known vulnerabilities. Any exploitation attempts should be logged, monitored, and investigated to detect unauthorized access to the enterprise network. Requests originating from other devices inside the corporate network could indicate that an attacker has breached the network. The honeypot must be completely isolated from other corporate resources, ensuring that attackers cannot pivot to critical systems if they gain access.","Inside the corporate network, isolated from reaching real resources via subnetting","Priviledge Escalation, Exfiltration, Collection, Impact",10
"[CORPORATION,HIGH_INTERACTION,HONEYNET,LATERAL_MOVEMENT,INITIAL_ACCESS,IMPACT]",Honeynet.,Attackers trying to breach the corporate inner network. ,"A decoy copy of the production network environment. It should mimic the real environment's architecture, services, and data flows to appear as authentic as possible. It should contain decoy systems like servers, databases, and endpoints with realistic but fake data. Some honeynets even generate simulated network traffic in order to be indistinguishable from the real network. Any interaction with the honeynet should be monitored, logged, and investigated to detect potential threats and prevent them from reaching the production network. It could also be used to investigate attacker's behaviour, learn their tactics and use it to secure the production environment.","Inside the corporate network, behind a honeywall, completely isolated from the actual production systems.  ","It is a simulation of an entire network, so it covers all the tactics.",10
"[DER,LOW_INTERACTION,PHYSICAL,INITIAL_ACCESS]",DER low-interaction honeypot. ,Detect attackers trying to establish unauthorised connections to DER resources. ,"A device, such as a Raspberry Pi system, running a software-based emulation of DER services. It should be capable of listening to common DER communication interfaces, such as Modbus, DNP3, and IEEE 2030.5. Additionally, it can monitor other interfaces, such as SSH, Telnet, and HTTP. It is recommended to select interfaces that mirror communication protocols used by your actual resources. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","Same network as real DER devices, but isolated via subnetting.","Reconnaissance, Initial Access",10
"[DER,LOW_INTERACTION,PHYSICAL,MISCONFIGURATION,INITIAL_ACCESS]",DER low-interaction honeypot. ,Detect attackers trying to establish unauthorised connections to DER resources. ,"A device, such as a Raspberry Pi system, running a software-based emulation of DER services. In order to attract attackers, it could emulate a DER device with a misconfiguration in SSH or Telnet protocols, which are often used for remote configuration or debugging but can also be exploited for command and control. It could have some indicators of misconfiguration, like banner disclosure or no limit in log-in attempts. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","Same network as real DER devices, but isolated via subnetting.","Reconnaissance, Initial Access",10
"[DER,LOW_INTERACTION,PHYSICAL,VULNERABILITIES,INITIAL_ACCESS]",DER low-interaction honeypot. ,Detect attackers trying to establish unauthorised connections to DER resources. ,"A device, such as a Raspberry Pi system, running a software-based emulation of DER services. In order to attract attackers, it could simulate a DER device with a vulnerability in SSH or Telnet protocols, which are often used for remote configuration or debugging but can also be exploited for command and control by attackers. The honeypot could simulate an outdated version of the communication protocols, with known vulnerabilities like CVE-2018-15473 for SSH. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","Same network as real DER devices, but isolated via subnetting.","Reconnaissance, Initial Access",10
"[DER,LOW_INTERACTION,VIRTUAL,INITIAL_ACCESS]",DER low-interaction honeypot. ,Detect attackers trying to establish unauthorised connections to DER resources. ,"A virtual machine (VM) that runs a software-based emulation of DER services. The VM listens to common DER communication interfaces, such as Modbus, DNP3, and IEEE 2030.5. Additionally, it can monitor other interfaces, such as SSH, Telnet, and HTTP. It is recommended to select interfaces that mirror communication protocols used by your actual resources. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","DER Operator Cloud Environment or Virtual Power Plant (VPP), isolated via subnet from real resources.","Reconnaissance, Initial Access",10
"[DER,LOW_INTERACTION,VIRTUAL,MISCONFIGURATION,INITIAL_ACCESS]",DER low-interaction honeypot. ,Detect attackers trying to establish unauthorised connections to DER resources. ,"A virtual machine (VM) that runs a software-based emulation of DER services. It could be running software-based emulation or simulating a DER device with a vulnerability in SSH or Telnet protocols, which are often used for remote configuration or debugging but can also be exploited for command and control by attackers. The honeypot could simulate an outdated version of the communication protocols, with known vulnerabilities like CVE-2018-15473 for SSH. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","DER Operator Cloud Environment or Virtual Power Plant (VPP), isolated via subnet from real resources.","Reconnaissance, Initial Access, Execution",10
"[DER,LOW_INTERACTION,VIRTUAL,VULNERABILITIES,INITIAL_ACCESS]",DER low-interaction honeypot. ,Detect attackers trying to establish unauthorised connections to DER resources. ,"A virtual machine (VM) that runs a software-based emulation of DER services. It could be running software-based emulation or simulating a DER device with a vulnerability in SSH or Telnet protocols, which are often used for remote configuration or debugging but can also be exploited for command and control by attackers. The honeypot could simulate an outdated version of the communication protocols, with known vulnerabilities like CVE-2018-15473 for SSH. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","DER Operator Cloud Environment or Virtual Power Plant (VPP), isolated via subnet from real resources.","Reconnaissance, Initial Access, Execution",10
"[DER,HIGH_INTERACTION,PHYSICAL,INITIAL_ACCESS]",DER high-interaction honeypot. ,Detect attackers trying to establish unauthorised connections to DER resources. ,"An actual DER device identical to others in your DER infrastructure. This device is not expected to have any legitimate interactions. Hence, any access attempts should be logged and monitored, with the source investigated and potentially blocked from accessing other resources.","Same network as real DER devices, but isolated via subnetting.","Reconnaissance, Initial Access",10
"[DER,HIGH_INTERACTION,PHYSICAL,VULNERABILITIES,INITIAL_ACCESS]",DER high-interaction honeypot. ,Detect attackers trying to establish unauthorised connections to DER resources. ,"An actual DER device identical to others in your DER system, but no one should be expected to interact with it. It could be an old, legacy, or unpatched version to make it more attractive to attackers. If you choose this approach, ensure it is correctly isolated from all other systems in your network to prevent attackers from pivoting if they manage to compromise it. This device is not expected to have any legitimate interactions. Hence, any access attempts should be logged and monitored, with the source investigated and potentially blocked from accessing other resources.","Same network as real DER devices, but isolated via subnetting.","Reconnaissance, Initial Access",10
"[DER,HONEYNET,VIRTUAL,INITIAL_ACCESS,LATERAL_MOVEMENT,IMPACT]",DER honeynet.,Detect attackers trying to attack DER infrastructure. ,"A honeynet emulating a Virtual Power Plan that aggregates several implementations of virtual honeypots emulating DER devices and other components in the VPP. To create a realistic setting,  it should mimic the real environment's architecture, services, and data flows to appear as authentic as possible. Some honeynets even generate simulated network traffic in order to be indistinguishable from the real network. Any interaction with the honeynet should be monitored, logged, and investigated to detect potential threats and prevent them from reaching the production network. It could also be used to investigate attacker's behaviour, learn their tactics and use it to secure the production environment.","Same network were other Virtual Power Plants are located, but completely isolated from them.","It is a simulation of an entire network, so it covers all the tactics.",10
"[ICS,HONEYTOKEN,L3,RANSOMWARE,IMPACT]",ICS honeytoken.,To detect ransomware in engineering workstations. ,"Hidden (so they are not accessed by users) files are scattered throughout various locations in the engineering workstation.The files should be named so that they are the first files in the directory. Any interaction with the files should be monitored, and the process that accessed the files should be stopped.",Engineering workstation.,"Exfiltration, Impact ",10
"[ICS,LOW_INTERACTION,DMZ,RAS,INITIAL_ACCESS]",ICS remote access server low-interaction honeypot.,To detect attackers trying to breach into the ICS.,"A device running a simulation of a Remote Access Server. It prompts log-in but never actually allows anyone in. It is recommended to use the remote connection methods that are used in your real environment. For example, SSH and RDP are some popular options. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",10
"[ICS,LOW_INTERACTION,DMZ,RAS,VULNERABILITIES,INITIAL_ACCESS]",ICS remote access server low-interaction honeypot.,To detect attackers trying to breach into the ICS.,"A device running a simulation of a Remote Access Server. It prompts log-in but never actually allows anyone in. It is recommended to use the remote connection methods that are used in your real environment. For example, SSH and RDP are some popular options. In order to be more appealing, it could mimic the vulnerability of an old version of the service, such as RDP's CVE-2020-0660 or SSH's CVE-2012-5975. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",10
"[ICS,LOW_INTERACTION,DMZ,MISCONFIGURATION,INITIAL_ACCESS]",ICS historian database low-interaction honeypot. ,To detect unauthorized access to historian databases. ,"A device simulating a misconfigured historian database in order to track malicious intruders. It could have exposed common database ports like 1433 (MySQL), 1521 (Oracle Database), 5432 (PostGress), etc. Choose the one that better fits your environment. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from the real resources, and especially from OT. ","Reconnaissance, Initial Access",10
"[ICS,LOW_INTERACTION,L3,MISCONFIGURATION,LATERAL_MOVEMENT]",ICS historian database low-interaction honeypot. ,To detect attackers trying to compromise ICS' operation and control devices. ,"A device simulating a misconfigured historian database in order to track malicious intruders. It could have exposed common database ports like 1433 (MySQL), 1521 (Oracle Database), 5432 (PostGress), etc. Choose the one that better fits your environment. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' Layer 3: Operation and Control. Isolated from real resources, especially from OT.",Lateral Movement,10
"[ICS,LOW_INTERACTION,L3,IMPACT]",ICS data exchange server low-interaction honeypot. ,To detect attackers trying to compromise ICS' operation and control devices. ,"A device simulating a Data Exchange Server using the protocol used for data transmission in the real environment. FTP is a popular example. The honeypot could log login and connection attempts but never allow actual connections. Sources of connections should be blocked from accessing other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS's Layer 3: Operation and Control. Isolated from real resources, especially from OT.",Credential Access ,10
"[ICS,LOW_INTERACTION,L3,VULNERABILITIES,LATERAL_MOVEMENT]",ICS data exchange server low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device running a simulation of a Data Exchange Server using the protocol used for data transmission in the real environment. FTP is a popular example. In order to make it more appealing to the attacker, it could simulate and outdated vulnerable version of the protocol. The honeypot could log log-in and connection attempts but never allow actual connections. Sources of connections should be blocked from accessing other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS's Layer 3: Operation and Control. Isolated from real resources, especially from OT.","Lateral Movement, Credential Access ",10
"[ICS,LOW_INTERACTION,L2,MISCONFIGURATION,LATERAL_MOVEMENT]",ICS HMI low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device simulating an HMI Interface. It could provide a fake dashboard via a web interface with simulated data. In order to attract attackers, it could simulate that it is not correctly configured and that an admin log-in interface is left exposed. It could also capture the sources of the log-ing attempts or any interaction with the fake services, that should be blocked from being capable of accessing real resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS's Layer 2:  Control. Isolated from the real resources, especially from OT.","Credential Access, Lateral Movement",10
"[ICS,LOW_INTERACTION,L2,LATERAL_MOVEMENT,IMPACT]",ICS SCADA low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"A device running a simulation of a misconfigured SCADA Server, simulating that it gathers data from the process layer and sends commands. It could listen to usual communications in the SCADA system (e.g. Secure Mobdus, DNP3, or OPC UA), preferably using the ones deployed in your real environment. Any communication attempt should be logged, investigated, and blocked. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS's Layer 2:  Control. Isolated from the real resources, especially from OT.","Lateral Movement, Impact ",10
"[ICS,LOW_INTERACTION,L2,LATERAL_MOVEMENT,MISCONFIGURATION,IMPACT]",ICS SCADA low-interaction honeypot. ,To detect attackers trying to disrupt communications in the ICS system. ,"A device running a simulation of a misconfigured SCADA Server, simulating that it gathers data from the process layer and sends commands. One common error is not configuring encrypted communications and instead simply using SCADA protocols that do not have inherent encryption, such as Modbus or DNP3. Using these communications without an encryption layer might attract attackers who aim to intercept and manipulate data transmission. Any communication attempt with the device should be investigated. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise. ","ICS's Layer 2:  Control. Isolated from the real resources, especially from OT.","Lateral Movement, Impact ",10
"[ICS,LOW_INTERACTION,L1,LATERAL_MOVEMENT]",PLC/RTU low-interaction honeypot. ,To detect attackers moving laterally inside the ICS.,"Simulation of a PLC/RTU device communicating with a SCADA Server. It is recommended to mimic the model of the real devices in the system as well as the communications used. No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.	","ICS's Layer 1:  Process. Isolated from the real resources, especially from OT.",Lateral Movement,10
"[ICS,LOW_INTERACTION,L1,VULNERABILITIES,IMPACT]",PLC low-interaction honeypot.,To detect attackers trying to compromise ICS Process Devices,"Simulation of a vulnerable PLC device. Siemens is one of the most simulated PLC brands in honeypots, as they account for a wide variety of disclosed vulnerabilities. It could mimic usual PLC communications and monitor for vulnerability exploitation attempts. Any communication/interaction attempt should be logged, investigated, and blocked. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise.","ICS's Layer 1:  Process. Isolated from the real resources, especially from OT.",Impact ,10
"[ICS,LOW_INTERACTION,L1,MISCONFIGURATION,IMPACT]",PLC/RTU low-interaction honeypot.,To detect attackers trying to exploit misconfigurations in the ICS system. ,"Simulation of a PLC/RTU device communicating with a SCADA Server. It is recommended to mimic the model of the real PLC/RTU in the system. One common error is not configuring encrypted communications and instead simply using SCADA protocols that do not have inherent encryption, such as Modbus or DNP3. Using these communications without an encryption layer might attract attackers who aim to intercept and manipulate data transmission. Any communication attempt with the device should be investigated. As we are in an inner layer, connections from other resources inside the ICS could be an indicator of compromise. ","ICS's Layer 1:  Process. Isolated from the real resources, especially from OT.",Impact ,10
"[ICS,HIGH_INTERACTION,DMZ,HISTORIAN_DB,VULNERABILITIES,INITIAL_ACCESS]",ICS historian database high-interaction honeypot.  ,To detect attackers trying to breach inside the ICS. ,"A fully functional computer running a historian database. In order to attract attackers, it could be a computer running a legacy or a vulnerable system. It should be monitored and adequately isolated from the production resources so the attackers cannot pivot if breached.  No legitimate interaction is expected, so any source should be logged, monitored, and blocked from reaching other resources.","ICS' DMZ, isolated from real resources. ",Initial Access,10
"[ICS,L2,L3,HONEYNET,INITIAL_ACCESS,LATERAL_MOVEMENT,IMPACT]",ICS SCADA System Honeynet,To detect attackers trying to attack the ICS. ,"A software simulation of an industrial ICS network. With a Honeywall (a firewall for the honeynet) and Quickdraw IDS signatures for monitoring (IDS ruleset designed for ICS). Inside the honeynet, different devices emulate the usual services inside ICS networks: HMI with HTTP for web-based management, Data Exchange Server with FTP, PLC, etc. Its objective is to entertain the attacker, study its behaviour, and block it from accessing real resources.","ICS's network, isolated from real resources. ","It is a simulation of an entire network, so it covers all the tactics.",10
